pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
5j35.pdb,LFucpa1-2DGalpb1-4DGlcpa1-ROH,FUC(3_D_)-GAL(2_D_)-GLC(1_D_),D FUC 3 C2 C1 GAL 2 O2 C2,D FUC 3 C1 GAL 2 O2 C2 C3,168.528,263.8508,"(['FUC(3_D_)', 'GAL(2_D_)'], [27.24, 37.18])","(['3.D', '2.D'], ['1C4', '4C1'])"
5j35.pdb,LFucpa1-2DGalpb1-4DGlcpa1-ROH,FUC(3_C_)-GAL(2_C_)-GLC(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,168.715,262.7138,"(['FUC(3_C_)', 'GAL(2_C_)'], [26.16, 37.38])","(['3.C', '2.C'], ['1C4', '4C1'])"
5ufc.pdb,LFucpa1-2DGalpb1-4DGlcpNAcb1-ROH,FUC(3_E_)-GAL(2_E_)-NAG(1_E_),E FUC 3 C2 C1 GAL 2 O2 C2,E FUC 3 C1 GAL 2 O2 C2 C3,137.739,244.59699999999998,"(['FUC(3_E_)', 'GAL(2_E_)'], [26.33, 23.55])","(['3.E', '2.E'], ['1C4', '4C1'])"
5ufc.pdb,LFucpa1-2DGalpb1-4DGlcpNAcb1-ROH,FUC(3_D_)-GAL(2_D_)-NAG(1_D_),D FUC 3 C2 C1 GAL 2 O2 C2,D FUC 3 C1 GAL 2 O2 C2 C3,139.76,250.291,"(['FUC(3_D_)', 'GAL(2_D_)'], [29.68, 25.33])","(['3.D', '2.D'], ['1C4', '4C1'])"
5ufc.pdb,LFucpa1-2DGalpb1-4DGlcpNAcb1-ROH,FUC(3_F_)-GAL(2_F_)-NAG(1_F_),F FUC 3 C2 C1 GAL 2 O2 C2,F FUC 3 C1 GAL 2 O2 C2 C3,138.284,247.511,"(['FUC(3_F_)', 'GAL(2_F_)'], [34.58, 34.56])","(['3.F', '2.F'], ['1C4', '4C1'])"
5lkg.pdb,LFucpa1-2DGalpb1-4DGlcpa1-ROH,FUC(3_C_)-GAL(2_C_)-GLC(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,163.114,282.9989,"(['FUC(3_C_)', 'GAL(2_C_)'], [25.49, 52.42])","(['3.C', '2.C'], ['1C4', '4C1'])"
5lkg.pdb,LFucpa1-2DGalpb1-4DGlcpa1-ROH,FUC(3_D_)-GAL(2_D_)-GLC(1_D_),D FUC 3 C2 C1 GAL 2 O2 C2,D FUC 3 C1 GAL 2 O2 C2 C3,172.484,262.12850000000003,"(['FUC(3_D_)', 'GAL(2_D_)'], [27.1, 52.64])","(['3.D', '2.D'], ['1C4', '4C1'])"
1gsl.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-OME,FUC(3_B_)-GAL(2_B_)-[FUC(4_B_)]-MAG(1_B_),B FUC 3 C2 C1 GAL 2 O2 C2,B FUC 3 C1 GAL 2 O2 C2 C3,168.903,258.711,"(['FUC(3_B_)', 'GAL(2_B_)'], [43.17, 47.79])","(['3.B', '2.B'], ['1C4', '4C1'])"
1zj2.pdb,LFucpa1-2DGalpb1-3DGlcpNAcb1-ROH,FUC(3_B_)-GAL(2_B_)-NAG(1_B_),B FUC 3 C2 C1 GAL 2 O2 C2,B FUC 3 C1 GAL 2 O2 C2 C3,178.448,267.1714,"(['FUC(3_B_)', 'GAL(2_B_)'], [44.1, 37.55])","(['3.B', '2.B'], ['1C4', '4C1'])"
6ha0.pdb,LFucpa1-2DGalpb1-3DGlcpNAcb1-ROH,FUC(3_C_)-GAL(2_C_)-NAG(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,169.119,257.137,"(['FUC(3_C_)', 'GAL(2_C_)'], [39.6, 34.66])","(['3.C', '2.C'], ['1C4', '4C1'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_P_)-[FUC(5_P_)-GAL(4_P_)]-NAG(3_P_)-GAL(2_P_)-BGC(1_P_),P FUC 5 C2 C1 GAL 4 O2 C2,P FUC 5 C1 GAL 4 O2 C2 C3,139.195,269.8269,"(['FUC(5_P_)', 'GAL(4_P_)'], [102.23, 111.97])","(['5.P', '4.P'], ['1C4', '4C1'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_K_)-[FUC(5_K_)-GAL(4_K_)]-NAG(3_K_)-GAL(2_K_)-BGC(1_K_),K FUC 5 C2 C1 GAL 4 O2 C2,K FUC 5 C1 GAL 4 O2 C2 C3,164.313,266.82349999999997,"(['FUC(5_K_)', 'GAL(4_K_)'], [77.69, 90.54])","(['5.K', '4.K'], ['1C4', '4C1'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_Q_)-[FUC(5_Q_)-GAL(4_Q_)]-NAG(3_Q_)-GAL(2_Q_)-BGC(1_Q_),Q FUC 5 C2 C1 GAL 4 O2 C2,Q FUC 5 C1 GAL 4 O2 C2 C3,162.541,271.9838,"(['FUC(5_Q_)', 'GAL(4_Q_)'], [74.95, 95.27])","(['5.Q', '4.Q'], ['1C4', '4C1'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_N_)-[FUC(5_N_)-GAL(4_N_)]-NAG(3_N_)-GAL(2_N_)-BGC(1_N_),N FUC 5 C2 C1 GAL 4 O2 C2,N FUC 5 C1 GAL 4 O2 C2 C3,174.362,267.7931,"(['FUC(5_N_)', 'GAL(4_N_)'], [87.28, 94.64])","(['5.N', '4.N'], ['1C4', '-'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_R_)-[FUC(5_R_)-GAL(4_R_)]-NAG(3_R_)-GAL(2_R_)-BGC(1_R_),R FUC 5 C2 C1 GAL 4 O2 C2,R FUC 5 C1 GAL 4 O2 C2 C3,166.467,262.8614,"(['FUC(5_R_)', 'GAL(4_R_)'], [85.16, 96.68])","(['5.R', '4.R'], ['1C4', '4C1'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_O_)-[FUC(5_O_)-GAL(4_O_)]-NAG(3_O_)-GAL(2_O_)-BGC(1_O_),O FUC 5 C2 C1 GAL 4 O2 C2,O FUC 5 C1 GAL 4 O2 C2 C3,153.205,257.574,"(['FUC(5_O_)', 'GAL(4_O_)'], [61.1, 72.98])","(['5.O', '4.O'], ['1C4', '-'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_M_)-[FUC(5_M_)-GAL(4_M_)]-NAG(3_M_)-GAL(2_M_)-BGC(1_M_),M FUC 5 C2 C1 GAL 4 O2 C2,M FUC 5 C1 GAL 4 O2 C2 C3,183.277,256.953,"(['FUC(5_M_)', 'GAL(4_M_)'], [75.33, 88.19])","(['5.M', '4.M'], ['-', '-'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_L_)-[FUC(5_L_)-GAL(4_L_)]-NAG(3_L_)-GAL(2_L_)-BGC(1_L_),L FUC 5 C2 C1 GAL 4 O2 C2,L FUC 5 C1 GAL 4 O2 C2 C3,175.377,249.48000000000002,"(['FUC(5_L_)', 'GAL(4_L_)'], [73.78, 91.3])","(['5.L', '4.L'], ['-', '-'])"
8cyb.pdb,LFucpa1-2DGalpb1-4LFucpa1-6[DManpb1-4DGlcpNAcb1-4]DGlcpNAcb1-ASN,FUC(4_I_)-GAL(3_I_)-FUC(2_I_)-[BMA(6_I_)-NAG(5_I_)]-NAG(1_I_)-ASN(1074_A_),I FUC 4 C2 C1 GAL 3 O2 C2,I FUC 4 C1 GAL 3 O2 C2 C3,175.562,321.9716,"(['FUC(4_I_)', 'GAL(3_I_)'], [175.09, 164.26])","(['4.I', '3.I'], ['1C4', '-'])"
4x1x.pdb,LFucpa1-2DGalpb1-4DGlcpNAca1-ROH,FUC(3_C_)-GAL(2_C_)-NDG(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,171.642,261.9,"(['FUC(3_C_)', 'GAL(2_C_)'], [17.51, 24.64])","(['3.C', '2.C'], ['1C4', '4C1'])"
5f97.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,A2G(6_K_)-[FUC(5_K_)]-GAL(4_K_)-NAG(3_K_)-GAL(2_K_)-BGC(1_K_),K FUC 5 C2 C1 GAL 4 O2 C2,K FUC 5 C1 GAL 4 O2 C2 C3,179.039,266.7453,"(['FUC(5_K_)', 'GAL(4_K_)'], [65.14, 70.06])","(['5.K', '4.K'], ['1C4', '4C1'])"
5f97.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,A2G(6_J_)-[FUC(5_J_)]-GAL(4_J_)-NAG(3_J_)-GAL(2_J_)-BGC(1_J_),J FUC 5 C2 C1 GAL 4 O2 C2,J FUC 5 C1 GAL 4 O2 C2 C3,162.166,267.3082,"(['FUC(5_J_)', 'GAL(4_J_)'], [48.16, 66.63])","(['5.J', '4.J'], ['1C4', '-'])"
5f97.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,A2G(6_L_)-[FUC(5_L_)]-GAL(4_L_)-NAG(3_L_)-GAL(2_L_)-BGC(1_L_),L FUC 5 C2 C1 GAL 4 O2 C2,L FUC 5 C1 GAL 4 O2 C2 C3,167.86,269.69190000000003,"(['FUC(5_L_)', 'GAL(4_L_)'], [65.62, 74.22])","(['5.L', '4.L'], ['1C4', '-'])"
5f97.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,A2G(6_I_)-[FUC(5_I_)]-GAL(4_I_)-NAG(3_I_)-GAL(2_I_)-BGC(1_I_),I FUC 5 C2 C1 GAL 4 O2 C2,I FUC 5 C1 GAL 4 O2 C2 C3,165.15,262.2417,"(['FUC(5_I_)', 'GAL(4_I_)'], [42.2, 50.79])","(['5.I', '4.I'], ['1C4', '-'])"
5f93.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_J_)-[FUC(5_J_)-GAL(4_J_)]-NAG(3_J_)-GAL(2_J_)-GLC(1_J_),J FUC 5 C2 C1 GAL 4 O2 C2,J FUC 5 C1 GAL 4 O2 C2 C3,162.82,260.4708,"(['FUC(5_J_)', 'GAL(4_J_)'], [64.41, 63.53])","(['5.J', '4.J'], ['1C4', '4C1'])"
5f93.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_I_)-[FUC(5_I_)-GAL(4_I_)]-NAG(3_I_)-GAL(2_I_)-GLC(1_I_),I FUC 5 C2 C1 GAL 4 O2 C2,I FUC 5 C1 GAL 4 O2 C2 C3,168.256,257.141,"(['FUC(5_I_)', 'GAL(4_I_)'], [48.71, 61.26])","(['5.I', '4.I'], ['1C4', '4C1'])"
5f93.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_K_)-[FUC(5_K_)-GAL(4_K_)]-NAG(3_K_)-GAL(2_K_)-GLC(1_K_),K FUC 5 C2 C1 GAL 4 O2 C2,K FUC 5 C1 GAL 4 O2 C2 C3,183.203,261.7643,"(['FUC(5_K_)', 'GAL(4_K_)'], [78.58, 83.11])","(['5.K', '4.K'], ['1C4', 'BO3'])"
5f93.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_L_)-[FUC(5_L_)-GAL(4_L_)]-NAG(3_L_)-GAL(2_L_)-GLC(1_L_),L FUC 5 C2 C1 GAL 4 O2 C2,L FUC 5 C1 GAL 4 O2 C2 C3,172.459,265.1969,"(['FUC(5_L_)', 'GAL(4_L_)'], [86.08, 89.84])","(['5.L', '4.L'], ['-', '4C1'])"
