pdb,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
6dts.pdb,C GLC 4 C2 C1 GLC 3 O4 C4,C GLC 4 C1 GLC 3 O4 C4 C5,222.125,224.15,"(['GLC(4_C_)', 'GLC(3_C_)'], [21.42, 14.52])","(['4.C', '3.C'], ['4C1', '4C1'])"
6dts.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,219.626,231.399,"(['GLC(3_C_)', 'GLC(2_C_)'], [14.52, 13.56])","(['3.C', '2.C'], ['4C1', '4C1'])"
6dts.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,237.788,248.155,"(['GLC(2_C_)', 'GLC(1_C_)'], [13.56, 15.74])","(['2.C', '1.C'], ['4C1', '4C1'])"
6dts.pdb,D GLC 4 C2 C1 GLC 3 O4 C4,D GLC 4 C1 GLC 3 O4 C4 C5,221.343,223.106,"(['GLC(4_D_)', 'GLC(3_D_)'], [25.15, 15.43])","(['4.D', '3.D'], ['4C1', '4C1'])"
6dts.pdb,D GLC 3 C2 C1 GLC 2 O4 C4,D GLC 3 C1 GLC 2 O4 C4 C5,222.539,229.505,"(['GLC(3_D_)', 'GLC(2_D_)'], [15.43, 14.58])","(['3.D', '2.D'], ['4C1', '4C1'])"
6dts.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,234.365,250.188,"(['GLC(2_D_)', 'GLC(1_D_)'], [14.58, 16.31])","(['2.D', '1.D'], ['4C1', '4C1'])"
3pha.pdb,H GLC 2 C2 C1 GLC 1 O4 C4,H GLC 2 C1 GLC 1 O4 C4 C5,219.521,252.80599999999998,"(['GLC(2_H_)', 'GLC(1_H_)'], [80.83, 115.92])","(['2.H', '1.H'], ['2SO', '-'])"
3pha.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,209.627,219.385,"(['GLC(2_E_)', 'GLC(1_E_)'], [74.02, 111.25])","(['2.E', '1.E'], ['-', '-'])"
3pha.pdb,G GLC 2 C2 C1 GLC 1 O4 C4,G GLC 2 C1 GLC 1 O4 C4 C5,218.962,244.35899999999998,"(['GLC(2_G_)', 'GLC(1_G_)'], [71.88, 111.84])","(['2.G', '1.G'], ['4C1', '4C1'])"
3pha.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,210.227,229.919,"(['GLC(2_F_)', 'GLC(1_F_)'], [73.41, 107.53])","(['2.F', '1.F'], ['4C1', '4H5'])"
2d3n.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,211.972,213.403,"(['GLC(2_C_)', 'GLC(1_C_)'], [40.41, 37.41])","(['2.C', '1.C'], ['4C1', '4C1'])"
2d3n.pdb,E GLC 3 C2 C1 GLC 2 O4 C4,E GLC 3 C1 GLC 2 O4 C4 C5,225.173,215.365,"(['GLC(3_E_)', 'GLC(2_E_)'], [42.56, 37.68])","(['3.E', '2.E'], ['4C1', '4C1'])"
2d3n.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,193.039,206.467,"(['GLC(2_E_)', 'GLC(1_E_)'], [37.68, 37.36])","(['2.E', '1.E'], ['4C1', '4C1'])"
2d3n.pdb,F GLC 3 C2 C1 GLC 2 O4 C4,F GLC 3 C1 GLC 2 O4 C4 C5,229.666,233.4,"(['GLC(3_F_)', 'GLC(2_F_)'], [44.44, 39.89])","(['3.F', '2.F'], ['4C1', '4C1'])"
2d3n.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,230.684,237.913,"(['GLC(2_F_)', 'GLC(1_F_)'], [39.89, 42.21])","(['2.F', '1.F'], ['4C1', '4C1'])"
2d3n.pdb,G GLC 4 C2 C1 GLC 3 O4 C4,G GLC 4 C1 GLC 3 O4 C4 C5,224.1,202.567,"(['GLC(4_G_)', 'GLC(3_G_)'], [35.34, 35.5])","(['4.G', '3.G'], ['4C1', '4C1'])"
2d3n.pdb,G GLC 3 C2 C1 GLC 2 O4 C4,G GLC 3 C1 GLC 2 O4 C4 C5,221.425,233.197,"(['GLC(3_G_)', 'GLC(2_G_)'], [35.5, 35.85])","(['3.G', '2.G'], ['4C1', '4C1'])"
2d3n.pdb,G GLC 2 C2 C1 GLC 1 O4 C4,G GLC 2 C1 GLC 1 O4 C4 C5,236.226,247.971,"(['GLC(2_G_)', 'GLC(1_G_)'], [35.85, 36.59])","(['2.G', '1.G'], ['4C1', '4C1'])"
2d3n.pdb,B GLC 6 C2 C1 GLC 5 O4 C4,B GLC 6 C1 GLC 5 O4 C4 C5,240.18200000000002,235.846,"(['GLC(6_B_)', 'GLC(5_B_)'], [45.44, 30.83])","(['6.B', '5.B'], ['4C1', '4C1'])"
2d3n.pdb,B GLC 5 C2 C1 GLC 4 O4 C4,B GLC 5 C1 GLC 4 O4 C4 C5,231.574,247.272,"(['GLC(5_B_)', 'GLC(4_B_)'], [30.83, 21.06])","(['5.B', '4.B'], ['4C1', '4C1'])"
2d3n.pdb,B GLC 4 C2 C1 GLC 3 O4 C4,B GLC 4 C1 GLC 3 O4 C4 C5,201.395,216.513,"(['GLC(4_B_)', 'GLC(3_B_)'], [21.06, 20.38])","(['4.B', '3.B'], ['4C1', '4C1'])"
2d3n.pdb,B GLC 3 C2 C1 GLC 2 O4 C4,B GLC 3 C1 GLC 2 O4 C4 C5,221.746,220.153,"(['GLC(3_B_)', 'GLC(2_B_)'], [20.38, 23.31])","(['3.B', '2.B'], ['4C1', '4C1'])"
2d3n.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,199.974,211.323,"(['GLC(2_B_)', 'GLC(1_B_)'], [23.31, 27.38])","(['2.B', '1.B'], ['4C1', '4C1'])"
2d3n.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,220.924,239.923,"(['GLC(2_D_)', 'GLC(1_D_)'], [33.26, 33.72])","(['2.D', '1.D'], ['4C1', '4C1'])"
2gvy.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,231.874,242.685,"(['GLC(2_F_)', 'GLC(1_F_)'], [34.61, 43.59])","(['2.F', '1.F'], ['4C1', '4C1'])"
2gvy.pdb,G GLC 2 C2 C1 GLC 1 O4 C4,G GLC 2 C1 GLC 1 O4 C4 C5,234.757,249.048,"(['GLC(2_G_)', 'GLC(1_G_)'], [33.67, 32.61])","(['2.G', '1.G'], ['4C1', '-'])"
2gvy.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,249.03300000000002,252.238,"(['GLC(2_D_)', 'GLC(1_D_)'], [45.66, 43.29])","(['2.D', '1.D'], ['4C1', '4C1'])"
5a05.pdb,G GLC 3 C2 C1 GLC 2 O4 C4,G GLC 3 C1 GLC 2 O4 C4 C5,228.112,240.075,"(['GLC(3_G_)', 'GLC(2_G_)'], [42.13, 31.06])","(['3.G', '2.G'], ['4C1', '4C1'])"
5a05.pdb,H GLC 3 C2 C1 GLC 2 O4 C4,H GLC 3 C1 GLC 2 O4 C4 C5,231.677,248.945,"(['GLC(3_H_)', 'GLC(2_H_)'], [40.31, 31.16])","(['3.H', '2.H'], ['4C1', '4C1'])"
5a05.pdb,J GLC 3 C2 C1 GLC 2 O4 C4,J GLC 3 C1 GLC 2 O4 C4 C5,227.126,244.712,"(['GLC(3_J_)', 'GLC(2_J_)'], [49.35, 37.06])","(['3.J', '2.J'], ['4C1', '4C1'])"
5a05.pdb,I GLC 3 C2 C1 GLC 2 O4 C4,I GLC 3 C1 GLC 2 O4 C4 C5,224.99,241.019,"(['GLC(3_I_)', 'GLC(2_I_)'], [42.53, 31.91])","(['3.I', '2.I'], ['4C1', '4C1'])"
2d2o.pdb,C GLC 6 C2 C1 GLC 5 O4 C4,C GLC 6 C1 GLC 5 O4 C4 C5,216.896,207.934,"(['GLC(6_C_)', 'GLC(5_C_)'], [47.37, 24.62])","(['6.C', '5.C'], ['4C1', '4C1'])"
2d2o.pdb,C GLC 5 C2 C1 GLC 4 O4 C4,C GLC 5 C1 GLC 4 O4 C4 C5,233.773,251.963,"(['GLC(5_C_)', 'GLC(4_C_)'], [24.62, 21.44])","(['5.C', '4.C'], ['4C1', '4C1'])"
2d2o.pdb,C GLC 4 C2 C1 GLC 3 O4 C4,C GLC 4 C1 GLC 3 O4 C4 C5,163.826,210.937,"(['GLC(4_C_)', 'GLC(3_C_)'], [21.44, 25.04])","(['4.C', '3.C'], ['4C1', '4C1'])"
