pdb,phi site,psi site,phi,psi
6dts.pdb,C GLC 4 C2 C1 GLC 3 O4 C4,C GLC 4 C1 GLC 3 O4 C4 C5,222.125,224.15
6dts.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,219.626,231.399
6dts.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,237.788,248.155
6dts.pdb,D GLC 4 C2 C1 GLC 3 O4 C4,D GLC 4 C1 GLC 3 O4 C4 C5,221.343,223.106
6dts.pdb,D GLC 3 C2 C1 GLC 2 O4 C4,D GLC 3 C1 GLC 2 O4 C4 C5,222.539,229.505
6dts.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,234.365,250.188
3pha.pdb,H GLC 2 C2 C1 GLC 1 O4 C4,H GLC 2 C1 GLC 1 O4 C4 C5,219.521,252.80599999999998
3pha.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,209.627,219.385
3pha.pdb,G GLC 2 C2 C1 GLC 1 O4 C4,G GLC 2 C1 GLC 1 O4 C4 C5,218.962,244.35899999999998
3pha.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,210.227,229.919
2d3n.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,211.972,213.403
2d3n.pdb,E GLC 3 C2 C1 GLC 2 O4 C4,E GLC 3 C1 GLC 2 O4 C4 C5,225.173,215.365
2d3n.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,193.039,206.467
2d3n.pdb,F GLC 3 C2 C1 GLC 2 O4 C4,F GLC 3 C1 GLC 2 O4 C4 C5,229.666,233.4
2d3n.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,230.684,237.913
2d3n.pdb,G GLC 4 C2 C1 GLC 3 O4 C4,G GLC 4 C1 GLC 3 O4 C4 C5,224.1,202.567
2d3n.pdb,G GLC 3 C2 C1 GLC 2 O4 C4,G GLC 3 C1 GLC 2 O4 C4 C5,221.425,233.197
