pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
4aha.pdb,LFucpa1-4DGlcpNAcb1-ROH,FUC(2_F_)-NAG(1_F_),F FUC 2 C2 C1 NAG 1 O4 C4,F FUC 2 C1 NAG 1 O4 C4 C5,138.847,212.662,"(['FUC(2_F_)', 'NAG(1_F_)'], [19.24, 25.95])","(['2.F', '1.F'], ['1C4', '-'])"
6xun.pdb,DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(4_G_)-[SIA(3_G_)-GAL(2_G_)]-NAG(1_G_),G FUC 4 C2 C1 NAG 1 O4 C4,G FUC 4 C1 NAG 1 O4 C4 C5,176.589,250.382,"(['FUC(4_G_)', 'NAG(1_G_)'], [37.95, 40.38])","(['4.G', '1.G'], ['1C4', '4C1'])"
6xun.pdb,DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(4_F_)-[SIA(3_F_)-GAL(2_F_)]-NAG(1_F_),F FUC 4 C2 C1 NAG 1 O4 C4,F FUC 4 C1 NAG 1 O4 C4 C5,173.737,252.792,"(['FUC(4_F_)', 'NAG(1_F_)'], [35.83, 38.07])","(['4.F', '1.F'], ['1C4', '4C1'])"
6xun.pdb,DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(4_E_)-[SIA(3_E_)-GAL(2_E_)]-NAG(1_E_),E FUC 4 C2 C1 NAG 1 O4 C4,E FUC 4 C1 NAG 1 O4 C4 C5,170.475,261.9868,"(['FUC(4_E_)', 'NAG(1_E_)'], [44.81, 47.32])","(['4.E', '1.E'], ['1C4', '4C1'])"
3asr.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-C6N1O3,FUC(3_D_)-[GAL(2_D_)]-NAG(1_D_)-NPO(1001_B_),D FUC 3 C2 C1 NAG 1 O4 C4,D FUC 3 C1 NAG 1 O4 C4 C5,169.42,257.308,"(['FUC(3_D_)', 'NAG(1_D_)'], [31.67, 35.29])","(['3.D', '1.D'], ['1C4', '4C1'])"
3asr.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_C_)-[GAL(2_C_)]-NAG(1_C_),C FUC 3 C2 C1 NAG 1 O4 C4,C FUC 3 C1 NAG 1 O4 C4 C5,164.772,258.743,"(['FUC(3_C_)', 'NAG(1_C_)'], [40.0, 42.77])","(['3.C', '1.C'], ['1C4', '4C1'])"
5f7m.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_E_)-[FUC(5_E_)-GAL(4_E_)]-NAG(3_E_)-GAL(2_E_)-BGC(1_E_),E FUC 6 C2 C1 NAG 3 O4 C4,E FUC 6 C1 NAG 3 O4 C4 C5,152.578,263.9155,"(['FUC(6_E_)', 'NAG(3_E_)'], [27.55, 26.96])","(['6.E', '3.E'], ['1C4', '4C1'])"
5f7m.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_F_)-[FUC(5_F_)-GAL(4_F_)]-NAG(3_F_)-GAL(2_F_)-BGC(1_F_),F FUC 6 C2 C1 NAG 3 O4 C4,F FUC 6 C1 NAG 3 O4 C4 C5,164.779,260.8297,"(['FUC(6_F_)', 'NAG(3_F_)'], [24.96, 28.81])","(['6.F', '3.F'], ['1C4', '4C1'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_K_)-[FUC(5_K_)-GAL(4_K_)]-NAG(3_K_)-GAL(2_K_)-BGC(1_K_),K FUC 6 C2 C1 NAG 3 O4 C4,K FUC 6 C1 NAG 3 O4 C4 C5,164.65,262.3573,"(['FUC(6_K_)', 'NAG(3_K_)'], [100.47, 104.41])","(['6.K', '3.K'], ['1C4', '4C1'])"
3sej.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_Q_)-[FUC(5_Q_)-GAL(4_Q_)]-NAG(3_Q_)-GAL(2_Q_)-BGC(1_Q_),Q FUC 6 C2 C1 NAG 3 O4 C4,Q FUC 6 C1 NAG 3 O4 C4 C5,174.467,250.65,"(['FUC(6_Q_)', 'NAG(3_Q_)'], [101.81, 102.76])","(['6.Q', '3.Q'], ['1C4', '4C1'])"
