pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
4rk9.pdb,DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(3_D_)-GLA(2_D_)-GLC(1_D_)-FRU(4_D_),D GLA 3 C2 C1 GLA 2 O6 C6,D GLA 3 C1 GLA 2 O6 C6 C5,44.5161,135.687,"(['GLA(3_D_)', 'GLA(2_D_)'], [37.98, 48.55])","(['3.D', '2.D'], ['-', '4C1'])"
4rk9.pdb,DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(3_C_)-GLA(2_C_)-GLC(1_C_)-FRU(4_C_),C GLA 3 C2 C1 GLA 2 O6 C6,C GLA 3 C1 GLA 2 O6 C6 C5,248.25,206.184,"(['GLA(3_C_)', 'GLA(2_C_)'], [30.97, 36.39])","(['3.C', '2.C'], ['4C1', '4C1'])"
6pre.pdb,DGalpa1-6DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(4_H_)-GLA(3_H_)-GLA(2_H_)-GLC(1_H_)-FRU(5_H_),H GLA 4 C2 C1 GLA 3 O6 C6,H GLA 4 C1 GLA 3 O6 C6 C5,204.361,223.714,"(['GLA(4_H_)', 'GLA(3_H_)'], [36.35, 36.96])","(['4.H', '3.H'], ['4C1', '4C1'])"
6pre.pdb,DGalpa1-6DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(4_H_)-GLA(3_H_)-GLA(2_H_)-GLC(1_H_)-FRU(5_H_),H GLA 3 C2 C1 GLA 2 O6 C6,H GLA 3 C1 GLA 2 O6 C6 C5,192.411,191.115,"(['GLA(3_H_)', 'GLA(2_H_)'], [36.96, 39.49])","(['3.H', '2.H'], ['4C1', '4C1'])"
6pre.pdb,DGalpa1-6DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(4_E_)-GLA(3_E_)-GLA(2_E_)-GLC(1_E_)-FRU(5_E_),E GLA 4 C2 C1 GLA 3 O6 C6,E GLA 4 C1 GLA 3 O6 C6 C5,202.693,223.197,"(['GLA(4_E_)', 'GLA(3_E_)'], [29.15, 29.84])","(['4.E', '3.E'], ['4C1', '4C1'])"
6pre.pdb,DGalpa1-6DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(4_E_)-GLA(3_E_)-GLA(2_E_)-GLC(1_E_)-FRU(5_E_),E GLA 3 C2 C1 GLA 2 O6 C6,E GLA 3 C1 GLA 2 O6 C6 C5,191.984,190.174,"(['GLA(3_E_)', 'GLA(2_E_)'], [29.84, 31.69])","(['3.E', '2.E'], ['4C1', '4C1'])"
6pre.pdb,DGalpa1-6DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(4_G_)-GLA(3_G_)-GLA(2_G_)-GLC(1_G_)-FRU(5_G_),G GLA 4 C2 C1 GLA 3 O6 C6,G GLA 4 C1 GLA 3 O6 C6 C5,204.824,222.316,"(['GLA(4_G_)', 'GLA(3_G_)'], [28.38, 29.52])","(['4.G', '3.G'], ['4C1', '4C1'])"
6pre.pdb,DGalpa1-6DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(4_G_)-GLA(3_G_)-GLA(2_G_)-GLC(1_G_)-FRU(5_G_),G GLA 3 C2 C1 GLA 2 O6 C6,G GLA 3 C1 GLA 2 O6 C6 C5,193.263,191.155,"(['GLA(3_G_)', 'GLA(2_G_)'], [29.52, 32.29])","(['3.G', '2.G'], ['4C1', '4C1'])"
6pre.pdb,DGalpa1-6DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(4_F_)-GLA(3_F_)-GLA(2_F_)-GLC(1_F_)-FRU(5_F_),F GLA 4 C2 C1 GLA 3 O6 C6,F GLA 4 C1 GLA 3 O6 C6 C5,205.587,225.234,"(['GLA(4_F_)', 'GLA(3_F_)'], [29.17, 30.92])","(['4.F', '3.F'], ['4C1', '4C1'])"
6pre.pdb,DGalpa1-6DGalpa1-6DGalpa1-6DGlcpa2-1DFrufb,GLA(4_F_)-GLA(3_F_)-GLA(2_F_)-GLC(1_F_)-FRU(5_F_),F GLA 3 C2 C1 GLA 2 O6 C6,F GLA 3 C1 GLA 2 O6 C6 C5,192.116,189.275,"(['GLA(3_F_)', 'GLA(2_F_)'], [30.92, 34.09])","(['3.F', '2.F'], ['4C1', '4C1'])"
