pdb,phi site,psi site,phi,psi
8htu.pdb,B DGD 850 C2E C1E O5D C6D,B DGD 850 C1E O5D C6D C5D,197.913,235.118
7sa3.pdb,C DGD 515 C2E C1E O5D C6D,C DGD 515 C1E O5D C6D C5D,216.361,128.198
6yp7.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,222.436,138.522
6yp7.pdb,a DGD 413 C2E C1E O5D C6D,a DGD 413 C1E O5D C6D C5D,229.73,148.046
6yp7.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,114.753,106.236
6yp7.pdb,C DGD 519 C2E C1E O5D C6D,C DGD 519 C1E O5D C6D C5D,114.707,106.258
6yp7.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,202.82,132.312
6yp7.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,202.864,132.312
6yp7.pdb,J DGD 101 C2E C1E O5D C6D,J DGD 101 C1E O5D C6D C5D,198.388,234.357
6yp7.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,222.463,138.555
6yp7.pdb,c DGD 519 C2E C1E O5D C6D,c DGD 519 C1E O5D C6D C5D,198.388,234.404
6yp7.pdb,A DGD 401 C2E C1E O5D C6D,A DGD 401 C1E O5D C6D C5D,229.737,148.057
8f4i.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,229.202,278.16589999999997
8f4i.pdb,c DGD 515 C2E C1E O5D C6D,c DGD 515 C1E O5D C6D C5D,211.079,116.675
8f4i.pdb,h DGD 101 C2E C1E O5D C6D,h DGD 101 C1E O5D C6D C5D,197.57,162.112
8f4i.pdb,A DGD 616 C2E C1E O5D C6D,A DGD 616 C1E O5D C6D C5D,210.847,215.26
8f4i.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,211.68,119.534
8f4i.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,188.973,176.117
8f4i.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,193.244,213.274
8f4i.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,224.278,278.9402
8f4i.pdb,C DGD 519 C2E C1E O5D C6D,C DGD 519 C1E O5D C6D C5D,188.873,207.327
7rcv.pdb,h DGD 103 C2E C1E O5D C6D,h DGD 103 C1E O5D C6D C5D,188.869,171.91
7rcv.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,195.206,207.872
7rcv.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,195.212,207.85
7rcv.pdb,C DGD 515 C2E C1E O5D C6D,C DGD 515 C1E O5D C6D C5D,215.731,122.355
7rcv.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,222.869,281.9454
7rcv.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,222.881,281.91700000000003
7rcv.pdb,H DGD 103 C2E C1E O5D C6D,H DGD 103 C1E O5D C6D C5D,188.844,171.942
7rcv.pdb,c DGD 515 C2E C1E O5D C6D,c DGD 515 C1E O5D C6D C5D,215.736,122.371
6ijo.pdb,B DGD 850 C2E C1E O5D C6D,B DGD 850 C1E O5D C6D C5D,217.764,210.893
6ijo.pdb,J DGD 103 C2E C1E O5D C6D,J DGD 103 C1E O5D C6D C5D,298.8569,207.647
6qph.pdb,B DGD 5002 C2E C1E O5D C6,B DGD 5002 C1E O5D C6D C5,196.659,238.489
6qph.pdb,2 DGD 811 C2E C1E O5D C6D,2 DGD 811 C1E O5D C6D C5D,207.207,223.183
6qph.pdb,J DGD 5001 C2E C1E O5D C6,J DGD 5001 C1E O5D C6D C5,177.362,96.5348
6qph.pdb,4 DGD 811 C2E C1E O5D C6D,4 DGD 811 C1E O5D C6D C5D,249.161,80.5095
4rvy.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,221.823,277.3201
4rvy.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,218.061,119.563
4rvy.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,183.969,168.876
4rvy.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,183.976,168.9
4rvy.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,218.106,119.556
4rvy.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,221.864,277.3242
4rvy.pdb,d DGD 410 C2E C1E O5D C6D,d DGD 410 C1E O5D C6D C5D,259.192,155.695
4rvy.pdb,D DGD 410 C2E C1E O5D C6D,D DGD 410 C1E O5D C6D C5D,259.185,155.676
4rvy.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,190.107,208.985
4rvy.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,190.081,208.97
7d1u.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,231.718,271.77070000000003
7d1u.pdb,C DGD 519 C2E C1E O5D C6D,C DGD 519 C1E O5D C6D C5D,199.225,207.8
7d1u.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,214.435,122.258
7d1u.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,214.435,122.258
7d1u.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,231.72,271.7844
7d1u.pdb,c DGD 519 C2E C1E O5D C6D,c DGD 519 C1E O5D C6D C5D,199.231,207.8
7d1u.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,199.539,175.121
7d1u.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,199.539,175.121
6jlk.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,191.449,209.587
6jlk.pdb,e DGD 101 C2E C1E O5D C6D,e DGD 101 C1E O5D C6D C5D,276.8844,144.342
6jlk.pdb,c DGD 521 C2E C1E O5D C6D,c DGD 521 C1E O5D C6D C5D,227.292,274.7246
6jlk.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,228.786,268.39570000000003
6jlk.pdb,c DGD 520 C2E C1E O5D C6D,c DGD 520 C1E O5D C6D C5D,220.151,121.466
6jlk.pdb,c DGD 522 C2E C1E O5D C6D,c DGD 522 C1E O5D C6D C5D,182.918,215.765
6jlk.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,202.976,160.257
6jlk.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,191.365,170.246
6jlk.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,216.99,126.441
6l7o.pdb,A DGD 404 C2E C1E O5D C6D,A DGD 404 C1E O5D C6D C5D,195.493,131.617
6l7o.pdb,A DGD 403 C2E C1E O5D C6D,A DGD 403 C1E O5D C6D C5D,203.64,170.522
