pdb,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
2zmn.pdb,M GLA 2 C2 C1 BGC 1 O6 C6,M GLA 2 C1 BGC 1 O6 C6 C5,173.865,220.049,"(['GLA(2_M_)', 'BGC(1_M_)'], [53.64, 52.75])","(['2.M', '1.M'], ['4C1', '4C1'])"
2zmn.pdb,J GLA 2 C2 C1 BGC 1 O6 C6,J GLA 2 C1 BGC 1 O6 C6 C5,157.164,203.393,"(['GLA(2_J_)', 'BGC(1_J_)'], [31.33, 33.84])","(['2.J', '1.J'], ['4C1', '4C1'])"
2zmn.pdb,G GLA 2 C2 C1 BGC 1 O6 C6,G GLA 2 C1 BGC 1 O6 C6 C5,177.484,175.165,"(['GLA(2_G_)', 'BGC(1_G_)'], [44.13, 57.65])","(['2.G', '1.G'], ['4C1', '4C1'])"
2zmn.pdb,O GLA 2 C2 C1 BGC 1 O6 C6,O GLA 2 C1 BGC 1 O6 C6 C5,190.516,192.957,"(['GLA(2_O_)', 'BGC(1_O_)'], [59.13, 62.63])","(['2.O', '1.O'], ['4C1', '4C1'])"
2dvg.pdb,E GLA 2 C2 C1 BGC 1 O6 C6,E GLA 2 C1 BGC 1 O6 C6 C5,280.3217,263.7647,"(['GLA(2_E_)', 'BGC(1_E_)'], [33.59, 79.21])","(['2.E', '1.E'], ['4C1', '4C1'])"
1ugy.pdb,K GLA 2 C2 C1 BGC 1 O6 C6,K GLA 2 C1 BGC 1 O6 C6 C5,179.709,118.197,"(['GLA(2_K_)', 'BGC(1_K_)'], [35.84, 57.56])","(['2.K', '1.K'], ['4C1', '4C1'])"
1ugy.pdb,L GLA 2 C2 C1 BGC 1 O6 C6,L GLA 2 C1 BGC 1 O6 C6 C5,159.457,130.114,"(['GLA(2_L_)', 'BGC(1_L_)'], [43.59, 73.81])","(['2.L', '1.L'], ['4C1', '4C1'])"
2zx3.pdb,F GLA 2 C2 C1 BGC 1 O6 C6,F GLA 2 C1 BGC 1 O6 C6 C5,188.747,190.549,"(['GLA(2_F_)', 'BGC(1_F_)'], [23.91, 36.17])","(['2.F', '1.F'], ['4C1', '4C1'])"
2zx3.pdb,E GLA 2 C2 C1 BGC 1 O6 C6,E GLA 2 C1 BGC 1 O6 C6 C5,188.447,191.834,"(['GLA(2_E_)', 'BGC(1_E_)'], [19.1, 31.89])","(['2.E', '1.E'], ['4C1', '4C1'])"
2zx3.pdb,D GLA 2 C2 C1 BGC 1 O6 C6,D GLA 2 C1 BGC 1 O6 C6 C5,169.987,199.807,"(['GLA(2_D_)', 'BGC(1_D_)'], [18.21, 32.82])","(['2.D', '1.D'], ['4C1', '4C1'])"
2zx3.pdb,C GLA 2 C2 C1 BGC 1 O6 C6,C GLA 2 C1 BGC 1 O6 C6 C5,171.85,205.168,"(['GLA(2_C_)', 'BGC(1_C_)'], [15.52, 28.98])","(['2.C', '1.C'], ['4C1', '4C1'])"
