pdb,phi site,psi site,phi,psi
2zmn.pdb,M GLA 2 C2 C1 BGC 1 O6 C6,M GLA 2 C1 BGC 1 O6 C6 C5,173.865,220.049
2zmn.pdb,J GLA 2 C2 C1 BGC 1 O6 C6,J GLA 2 C1 BGC 1 O6 C6 C5,157.164,203.393
2zmn.pdb,G GLA 2 C2 C1 BGC 1 O6 C6,G GLA 2 C1 BGC 1 O6 C6 C5,177.484,175.165
2zmn.pdb,O GLA 2 C2 C1 BGC 1 O6 C6,O GLA 2 C1 BGC 1 O6 C6 C5,190.516,192.957
2dvg.pdb,E GLA 2 C2 C1 BGC 1 O6 C6,E GLA 2 C1 BGC 1 O6 C6 C5,280.3217,263.7647
1ugy.pdb,K GLA 2 C2 C1 BGC 1 O6 C6,K GLA 2 C1 BGC 1 O6 C6 C5,179.709,118.197
1ugy.pdb,L GLA 2 C2 C1 BGC 1 O6 C6,L GLA 2 C1 BGC 1 O6 C6 C5,159.457,130.114
2zx3.pdb,F GLA 2 C2 C1 BGC 1 O6 C6,F GLA 2 C1 BGC 1 O6 C6 C5,188.747,190.549
2zx3.pdb,E GLA 2 C2 C1 BGC 1 O6 C6,E GLA 2 C1 BGC 1 O6 C6 C5,188.447,191.834
2zx3.pdb,D GLA 2 C2 C1 BGC 1 O6 C6,D GLA 2 C1 BGC 1 O6 C6 C5,169.987,199.807
2zx3.pdb,C GLA 2 C2 C1 BGC 1 O6 C6,C GLA 2 C1 BGC 1 O6 C6 C5,171.85,205.168
