pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
2yb7.pdb,DGalpa1-6DManpb1-ROH,GLA(2_C_)-BMA(1_C_),C GLA 2 C2 C1 BMA 1 O6 C6,C GLA 2 C1 BMA 1 O6 C6 C5,182.311,175.698,"(['GLA(2_C_)', 'BMA(1_C_)'], [18.42, 60.22])","(['2.C', '1.C'], ['4C1', '-'])"
2yb7.pdb,DGalpa1-6DManpb1-ROH,GLA(2_D_)-BMA(1_D_),D GLA 2 C2 C1 BMA 1 O6 C6,D GLA 2 C1 BMA 1 O6 C6 C5,189.334,167.153,"(['GLA(2_D_)', 'BMA(1_D_)'], [17.59, 58.96])","(['2.D', '1.D'], ['4C1', '-'])"
6f7k.pdb,DGalpa1-6DManpb1-4LRhapa1-3DGalpa1-6DManpb1-4LRhapa1-ROH,GLA(6_L_)-BMA(5_L_)-RAM(4_L_)-GLA(3_L_)-BMA(2_L_)-RAM(1_L_),L GLA 6 C2 C1 BMA 5 O6 C6,L GLA 6 C1 BMA 5 O6 C6 C5,178.275,117.225,"(['GLA(6_L_)', 'BMA(5_L_)'], [57.6, 62.33])","(['6.L', '5.L'], ['4C1', '4C1'])"
6f7k.pdb,DGalpa1-6DManpb1-4LRhapa1-3DGalpa1-6DManpb1-4LRhapa1-ROH,GLA(6_L_)-BMA(5_L_)-RAM(4_L_)-GLA(3_L_)-BMA(2_L_)-RAM(1_L_),L GLA 3 C2 C1 BMA 2 O6 C6,L GLA 3 C1 BMA 2 O6 C6 C5,273.1256,214.26,"(['GLA(3_L_)', 'BMA(2_L_)'], [59.88, 58.82])","(['3.L', '2.L'], ['4C1', '-'])"
6f7k.pdb,DGalpa1-6DManpb1-4LRhapa1-3DGalpa1-6DManpb1-4LRhapa1-ROH,GLA(6_K_)-BMA(5_K_)-RAM(4_K_)-GLA(3_K_)-BMA(2_K_)-RAM(1_K_),K GLA 6 C2 C1 BMA 5 O6 C6,K GLA 6 C1 BMA 5 O6 C6 C5,159.769,132.269,"(['GLA(6_K_)', 'BMA(5_K_)'], [73.25, 78.18])","(['6.K', '5.K'], ['4C1', '4C1'])"
6f7k.pdb,DGalpa1-6DManpb1-4LRhapa1-3DGalpa1-6DManpb1-4LRhapa1-ROH,GLA(6_K_)-BMA(5_K_)-RAM(4_K_)-GLA(3_K_)-BMA(2_K_)-RAM(1_K_),K GLA 3 C2 C1 BMA 2 O6 C6,K GLA 3 C1 BMA 2 O6 C6 C5,143.019,152.921,"(['GLA(3_K_)', 'BMA(2_K_)'], [65.17, 59.4])","(['3.K', '2.K'], ['4C1', '-'])"
6f7k.pdb,DGalpa1-6DManpb1-4LRhapa1-3DGalpa1-6DManpb1-4LRhapa1-ROH,GLA(6_M_)-BMA(5_M_)-RAM(4_M_)-GLA(3_M_)-BMA(2_M_)-RAM(1_M_),M GLA 6 C2 C1 BMA 5 O6 C6,M GLA 6 C1 BMA 5 O6 C6 C5,194.886,120.565,"(['GLA(6_M_)', 'BMA(5_M_)'], [60.18, 65.61])","(['6.M', '5.M'], ['4C1', '4C1'])"
6f7k.pdb,DGalpa1-6DManpb1-4LRhapa1-3DGalpa1-6DManpb1-4LRhapa1-ROH,GLA(6_M_)-BMA(5_M_)-RAM(4_M_)-GLA(3_M_)-BMA(2_M_)-RAM(1_M_),M GLA 3 C2 C1 BMA 2 O6 C6,M GLA 3 C1 BMA 2 O6 C6 C5,3.5216,202.215,"(['GLA(3_M_)', 'BMA(2_M_)'], [50.82, 45.6])","(['3.M', '2.M'], ['4C1', '4C1'])"
6f7k.pdb,DGalpa1-6DManpb1-4LRhapa1-3DGalpa1-6DManpb1-4LRhapa1-ROH,GLA(6_H_)-BMA(5_H_)-RAM(4_H_)-GLA(3_H_)-BMA(2_H_)-RAM(1_H_),H GLA 6 C2 C1 BMA 5 O6 C6,H GLA 6 C1 BMA 5 O6 C6 C5,178.403,113.444,"(['GLA(6_H_)', 'BMA(5_H_)'], [62.53, 65.27])","(['6.H', '5.H'], ['4C1', '4C1'])"
6f7k.pdb,DGalpa1-6DManpb1-4LRhapa1-3DGalpa1-6DManpb1-4LRhapa1-ROH,GLA(6_H_)-BMA(5_H_)-RAM(4_H_)-GLA(3_H_)-BMA(2_H_)-RAM(1_H_),H GLA 3 C2 C1 BMA 2 O6 C6,H GLA 3 C1 BMA 2 O6 C6 C5,333.4782,196.581,"(['GLA(3_H_)', 'BMA(2_H_)'], [58.29, 56.67])","(['3.H', '2.H'], ['4C1', '4C1'])"
